15,2;2021-06-12T00:00:10+07:00
15,1;2021-06-12T00:02:10+07:00
15,2;2021-06-12T00:04:10+07:00
15,1;2021-06-12T00:06:10+07:00
15,0;2021-06-12T00:08:10+07:00
14,8;2021-06-12T00:18:10+07:00
14,7;2021-06-12T00:22:10+07:00
14,6;2021-06-12T00:30:10+07:00
14,5;2021-06-12T00:44:10+07:00
14,4;2021-06-12T00:50:10+07:00
14,2;2021-06-12T01:08:10+07:00
14,4;2021-06-12T01:10:10+07:00
14,2;2021-06-12T01:14:10+07:00
14,0;2021-06-12T01:36:10+07:00
13,9;2021-06-12T01:44:10+07:00
13,7;2021-06-12T01:54:10+07:00
13,6;2021-06-12T02:02:10+07:00
13,7;2021-06-12T02:04:11+07:00
13,6;2021-06-12T02:08:10+07:00
13,5;2021-06-12T02:12:10+07:00
13,4;2021-06-12T02:20:10+07:00
13,2;2021-06-12T02:22:10+07:00
13,1;2021-06-12T02:24:10+07:00
13,0;2021-06-12T02:32:10+07:00
12,9;2021-06-12T02:36:10+07:00
12,8;2021-06-12T02:44:10+07:00
12,6;2021-06-12T02:48:10+07:00
12,5;2021-06-12T03:06:10+07:00
12,6;2021-06-12T03:10:10+07:00
12,5;2021-06-12T03:16:10+07:00
12,6;2021-06-12T03:18:10+07:00
12,5;2021-06-12T03:20:10+07:00
12,4;2021-06-12T03:22:10+07:00
12,3;2021-06-12T03:24:10+07:00
12,4;2021-06-12T03:26:10+07:00
12,3;2021-06-12T03:32:10+07:00
12,1;2021-06-12T03:36:10+07:00
12,3;2021-06-12T03:40:10+07:00
12,0;2021-06-12T03:42:10+07:00
12,1;2021-06-12T03:44:10+07:00
12,0;2021-06-12T03:46:10+07:00
11,9;2021-06-12T03:54:10+07:00
11,8;2021-06-12T04:00:10+07:00
11,6;2021-06-12T04:06:10+07:00
11,5;2021-06-12T04:12:10+07:00
11,6;2021-06-12T04:18:10+07:00
11,5;2021-06-12T04:30:10+07:00
11,6;2021-06-12T04:34:10+07:00
